feature,coefficient
DNAJB4,-1.088889636928905e-05
IER5,1.2246264460547346e-05
IGFN1,0.00019418926905697518
MYOG,-7.835522253221225e-06
BTG2,1.9265988611944477e-05
ATF3,3.276118903330186e-06
TOGARAM2,-3.117454463549277e-05
CHRNA1,-1.390976331812122e-05
DGKD,-4.055932964360832e-06
XIRP1,4.684618446539441e-05
KLHL40,5.770837150952867e-05
ITIH4,0.0001449175877916696
WDR1,-5.528290299183631e-06
ASB5,2.1608361270149623e-05
EGR1,2.426599710943804e-05
DUSP1,4.8207901301067025e-05
HSPA1A,3.3787213927799797e-06
HSPB1,-0.00020400408242170434
FLNC,3.40695235529921e-05
ABRA,2.8159138148209448e-05
OTUD1,8.705411343621193e-05
ANKRD1,7.230180822648094e-05
HBB,7.792916912617807e-06
NR4A1,1.957606712733877e-05
NUDT4,-3.4916529321372955e-06
C12orf75,-3.455972653290967e-05
HSPB8,-0.00013956944076981619
FOS,7.576572645298699e-05
SERPINA5,-6.666738866101822e-05
HBA2,4.6094212639635645e-05
HBA1,4.884102475910358e-05
RRAD,-3.114447551951166e-05
MYH8,7.782093447625572e-05
PPP1R27,3.661384171734649e-05
JUND,-2.83448922339236e-06
MYH9,-4.8718332551401174e-05
SLITRK4,-1.5217323426026222e-05
